comment,sentiment
讲的能不能详细一点，一个视频六分钟？六分钟我就学会了？,0
讲题的时候能不能把电路图在解析的那一页加上，要不然还要画下来或者翻来覆去的看,0
垃圾，垃圾，垃圾,0
希望演示时镜头可以不一直移动，对于这种课程来说，镜头一直移动导致看不清动作变换，根本没法学习，这真的令人非常的失望。,0
"貌似有点慢
",0
听不懂啊啊啊啊,0
理解理解理解.,0
"觉得mooc算平时成绩真的不合理，有些人。。。老实人吃亏
",0
无聊，没意义,0
证书太便宜了,0
很多时候我无法完全记忆什么时候有作业，这使得我错过了很多次作业，可以加个提醒机制吗,0
"mooc做的真的差劲
",0
难以理解，不够生动形象,0
为什么找不到后面三节的,0
课后习题很多都是课程里面没有讲到的，有点超纲了,0
很好，课程知识点基本完整，但是少了一些基本操作的算法和程序讲解，另外，可以加上一些经典案例的讲解,0
按时听课完成作业结果没有证书，真是让人头大,0
课程讲解过于死板，不能调动学生的兴趣,0
一个学期都没消息，以为没人管理了，结果这个分数是怎么算的呢,0
不好！！！！,0
看完之后更新好慢，而且换电脑了，更新又不知道，,0
评分机制不清晰，不能直观体现，上完的单元课没有标记，移动端没有移植电脑端的所有功能，对iPad的优化太差,0
有些听了几遍还是不明白，我太蠢了,0
学习进度条不够明确，没有明确显示未学习内容,0
内容挺丰富的，但是老师的用词太过于简单如“very very”不能生动地体现所表达的意境，讲解时用的句式略带有中式思维，如“the number 3 point”，课程讲解应该避免过多的“how to say”这种插入语。老师的发音偏美式。对于高水平英语学习者的话，不太建议听。老师的经验是很丰富的，举得例子也很助于理解，但我个人只从语言方面来评价，仅供参考,0
文档 一直打不开，手机电脑不同步，系统有待提升。,0
"作业题干设定不明确，容易产生歧义
课程讲述不详细，学习时大部分时间依赖网络其他资源",0
"课程繁琐 任务太杂

",0
没必要做这个课程，全部在照书念,0
经常做了却显示未完成,0
平台上需完成的作业内容太多了，评论区大量的内容并不能使师生良好交流。极大加重了学习压力。,0
网课难道就是把PPT念一遍吗？,0
本来对这课满怀期待，两个月前就预约了课程，结果没想到老师不但没什么讲解，连PPT读都读不顺，真是大失所望。,0
差评  真的很差,0
