comment,mark
不行，差评,1.0
可以申请证书吗？,5.0
谢谢这个软件让我们相遇,5.0
"有帮助，值得学习
",5.0
详细，实用,5.0
good ！,4.0
感觉挺好的,5.0
内容很好，就是有时候 视频不是很清晰。,4.0
非常棒，很喜欢,5.0
很有帮助，收货满满,5.0
内容丰富，贴近生活,5.0
"不错不错不错
",5.0
不错很好棒,5.0
很好很好的,5.0
差评，差评,1.0
讲解清楚，学习效果明显,4.0
越学感觉会的东西越少,4.0
。。。。。。。。。。,2.0
知识面比较广,5.0
讲课条理清晰!,5.0
跟孤儿一样,1.0
能赚钱就行,3.0
"这门课程相当nice，我相当like，very good
恩。。。。yes",5.0
我们能在这里相遇还得从一只蝙蝠说起,1.0
很多视频不能播放，还有些错误。一般吧,4.0
这个软件感觉还好,4.0
我占个神评,5.0
废物软件，,1.0
我嫌弃这个软件，不过对喜欢学习的人来说是不错的，但是对我而言恨不得想举报,5.0
谢谢，非常不错，,4.0
谢谢老师的精心制作、专业讲解，很受益!,5.0
知识很全面,5.0
好，老师讲的很仔细,5.0
"真的很棒 收获很大
",5.0
通过此次学习，让我更深一层了解了数控车削这块知识,5.0
通过这次课程受益匪浅,4.0
很好 很不错,5.0
"通过学习我了解了很过关于机床的知识，有操作的保养的和清理的
",5.0
非常非常好的课程平。帮助我把基础知识打扎实了，来今截屏维修。,5.0
我觉得很good，对我的帮助非常大，很厉害的课程。,5.0
评价很假。,1.0
这绝对是我见过的最好的计算机网络基础教学，在这里我受益匪浅，感觉知识的大门已经向我展开，已经是极致，无需更好！满意！,5.0
大家好，我是陆超，今天刚注册，真好。,5.0
很好，极致的计算机课程，教授课程的老师也非常和善，学习了课程后我更是感觉高人一等，不能再好，五星好评！！！！！！,5.0
我从课堂内容组织，授课方式的角度可以看出这是一个非常完美非常全面的网站。让我受到了很大的启发。给予了我很多的帮助。这就是我给5星好评的理由,1.0
课程里大部分都很实用，挺好的。老师们都很用心，备课也很充分。但是课程讲解部分老师声音太轻，听也听不清在讲什么，有些讲课太尬，全程尬聊，和学生的互动很假。有一种仿佛在看演技不在线地电视连续剧一样，而且感觉有时候讲解对象是超低龄，上课有种谜一样的窒息感，有时候又是跟专业学习过的同学们讲课，一些专业名词就往外面冒，听得云里雾里的。,4.0
皮皮皮—.—,5.0
"流批    
121212121",5.0
"666666
",5.0
组织严谨，结构清晰,5.0
有没有这本书的课程标准？,5.0
非常好，涨知识了,5.0
很有帮助。666,5.0
。。。。。,3.0
超级假的软件，没什么用,1.0
一般般哈哈哈哈,5.0
课上的不错，但演技太夸张,4.0
真好66666666666,5.0
秀的鸭皮！,5.0
好.............,5.0
一群托。。。。。,1.0
太棒了，寒假在家躲疫情没事做？不如和我一起在网上学习，每天学习两小时，我的朋友们都在做，反正闲着也是闲着，不如学顿习。,5.0
老师，我的认证证书纸质版什么时候发货给我，我出了100块钱的。,3.0
1星也算高，电阻单位是功率？讲课也不怎么能让人听懂，差评啊,1.0
老师，你好，我想看看你前八次的开课内容，怎么能联系到你，我对电路很感兴趣,5.0
老师讲的非常细致、全面，学起来比较容易明白。早已推荐给我的学生，大家一起学！,5.0
感觉不怎么样，他就一直说，感觉像照着课本念一样，还不如自己看书，仪器仪表也就直接念过去，也不指一下，或者单独放出来，生怕我知道哪个仪表叫什么,1.0
老师好，我很喜欢您讲的课，课程真的很棒，能不能麻烦您这次课不要关闭，我觉得对于很多同学都是很有帮助的，课程真的很棒,5.0
"天气不好一课心
",1.0
优秀啊！！！真好,2.0
真棒这个软件,5.0
让我无聊的寒假能够学习，真好,1.0
讲的较好，谢谢教师,5.0
啥比 东西,1.0
这个软件真不错,3.0
通过学习电工技术基础与技能该门课程，使我了解了基本的电工常识，也对身边的世界有了更加深入的了解。,5.0
非常超级超级棒的课程，学习到了很多知识,5.0
一星好评，太开心了，让我们能在疫情期间认真学习写笔记。,1.0
"……我我我，
 我的刀呢",1.0
挺好的挺好的,1.0
通俗易懂，很好,5.0
我觉得还行,3.0
很好，讲的很细,5.0
还可以吧，画质有待，，，,3.0
差评，又不得不学,1.0
什么东西啊,1.0
我真想打差评,1.0
好好好好好,5.0
辣鸡辣鸡辣鸡,1.0
收货很多。,5.0
讲的很不错。细致 ,5.0
可以学以致用,5.0
"66666
",5.0
内容精练实用，值得好好学习。,4.0
每天有用的,4.0
谢谢，学了不少知识,5.0
基础知识比较适合小白,4.0
内容相当广泛,5.0
非常好 good,5.0
非常实用，知道自己的爱车需要测试紧急刹车，高速行驶等项目,5.0
课程内容非常实用，让我这个初学者很快就掌握了数控车床的操作方法,5.0
课程组织比较结合实际加工，对个人的实际操作技能提高很快！,5.0
学习法兰克车床。很不错的学习。,5.0
三维动画挺不错,5.0
很喜欢该课程，美中不足的是视频有时候播放不了。,5.0
比较接近现实（最好实际案例详细点）,5.0
增加了理论基础知识也开阔了眼界.,5.0
"查漏补缺，原来学习很多细节的东西没注意，这里学习到了
",5.0
完美的视频教学，使我们更全面、系统地学习数控车加工技术。,5.0
后面的什么时候更新呢,5.0
内容难度适宜,4.0
fuck~啊this是什么鬼thing，只有介绍没有课,1.0
内容安排合理，讲解清晰易懂，收获颇丰。,5.0
课程内容丰富，很好理解当中的意思。,5.0
上课内容很精彩,5.0
这课程讲的真好,5.0
没有M的代码吗,5.0
找课程太麻烦了。,2.0
很好啊很喜欢,5.0
"很好用的软件
",5.0
淦！淦！淦！,1.0
太棒了牛逼,1.0
老师讲的通俗易懂，虽短但都是满满的干货！点赞！,5.0
超好，学习进度很强,3.0
非常好，受益匪浅，感恩平台！感恩老师！,5.0
tyyyygyy,5.0
高中课程只讲理论，本节课结合实物演示，更直观、可操作性高，有利于应用,3.0
简单易懂，对基础薄弱的同学极其友好,5.0
老师讲的非常好,5.0
我感觉非常好,5.0
挺好！希望再开设！,5.0
我懂得课程,5.0
老师讲的非常好，收获很多,5.0
差劲差劲差劲差劲差劲差劲差劲差劲差劲差劲差劲差劲差劲差劲差劲差劲差劲差劲差劲差劲差劲差劲差劲差劲差劲差劲差劲差劲差劲差劲差劲差劲差劲差劲差劲差劲差劲差劲差劲差劲差劲差劲差劲差劲差劲差劲差劲差劲差劲差劲差劲差劲差劲差劲差劲差劲差劲差劲差劲差劲差劲差劲差劲差劲差劲差劲差劲差劲差劲差劲差劲差劲差劲差劲差劲差劲差劲差劲差劲差劲差劲差劲差劲差劲差劲差劲差劲差劲,1.0
知识面很全老师讲的很好,5.0
老师讲解很透彻,5.0
，，，，，,1.0
666，嗯嗯嗯。,5.0
敏你开口控,5.0
课件蛮好，老师认真，知识点突出，语言简练，值得学习，教这门课20年，有些确实不错，有收获。,5.0
"很好，让我学到了很多
",5.0
我觉得这个计算机网络基础挺好的，对我帮助挺大，但希望做的更详细一点，就更好了。哈哈哈，好嗨由感觉人生到达了巅峰，加油,5.0
感觉有些地方说的不清楚，不够详细。比方说镜像设置方面，为什么要设置镜像，设置镜像有什么用，在设置镜像中的步骤有些地方跳跃，讲解的不够细，还是一知半解。,4.0
