评论,分类
评价很假。,0
这绝对是我见过的最好的计算机网络基础教学，在这里我受益匪浅，感觉知识的大门已经向我展开，已经是极致，无需更好！满意！,1
大家好，我是陆超，今天刚注册，真好。,1
很好，极致的计算机课程，教授课程的老师也非常和善，学习了课程后我更是感觉高人一等，不能再好，五星好评！！！！！！,1
我从课堂内容组织，授课方式的角度可以看出这是一个非常完美非常全面的网站。让我受到了很大的启发。给予了我很多的帮助。这就是我给5星好评的理由,0
课程里大部分都很实用，挺好的。老师们都很用心，备课也很充分。但是课程讲解部分老师声音太轻，听也听不清在讲什么，有些讲课太尬，全程尬聊，和学生的互动很假。有一种仿佛在看演技不在线地电视连续剧一样，而且感觉有时候讲解对象是超低龄，上课有种谜一样的窒息感，有时候又是跟专业学习过的同学们讲课，一些专业名词就往外面冒，听得云里雾里的。,1
皮皮皮—.—,1
"流批    
121212121",1
"666666
",1
组织严谨，结构清晰,1
有没有这本书的课程标准？,1
非常好，涨知识了,1
很有帮助。666,1
超级假的软件，没什么用,0
一般般哈哈哈哈,1
课上的不错，但演技太夸张,1
真好66666666666,1
秀的鸭皮！,1
好.............,1
不行，差评,0
可以申请证书吗？,1
谢谢这个软件让我们相遇,1
"有帮助，值得学习
",1
详细，实用,1
good ！,1
感觉挺好的,1
内容很好，就是有时候 视频不是很清晰。,1
非常棒，很喜欢,1
很有帮助，收货满满,1
内容丰富，贴近生活,1
"不错不错不错
",1
不错很好棒,1
很好很好的,1
差评，差评,0
讲解清楚，学习效果明显,1
越学感觉会的东西越少,1
。。。。。。。。。。,0
知识面比较广,1
讲课条理清晰!,1
跟孤儿一样,0
"这门课程相当nice，我相当like，very good
恩。。。。yes",1
我们能在这里相遇还得从一只蝙蝠说起,0
很多视频不能播放，还有些错误。一般吧,1
这个软件感觉还好,1
我占个神评,1
废物软件，,0
我嫌弃这个软件，不过对喜欢学习的人来说是不错的，但是对我而言恨不得想举报,1
谢谢，非常不错，,1
谢谢老师的精心制作、专业讲解，很受益!,1
知识很全面,1
好，老师讲的很仔细,1
"真的很棒 收获很大
",1
通过此次学习，让我更深一层了解了数控车削这块知识,1
通过这次课程受益匪浅,1
很好 很不错,1
"通过学习我了解了很过关于机床的知识，有操作的保养的和清理的
",1
非常非常好的课程平。帮助我把基础知识打扎实了，来今截屏维修。,1
我觉得很good，对我的帮助非常大，很厉害的课程。,1
一群托。。。。。,0
太棒了，寒假在家躲疫情没事做？不如和我一起在网上学习，每天学习两小时，我的朋友们都在做，反正闲着也是闲着，不如学顿习。,1
1星也算高，电阻单位是功率？讲课也不怎么能让人听懂，差评啊,0
老师，你好，我想看看你前八次的开课内容，怎么能联系到你，我对电路很感兴趣,1
老师讲的非常细致、全面，学起来比较容易明白。早已推荐给我的学生，大家一起学！,1
感觉不怎么样，他就一直说，感觉像照着课本念一样，还不如自己看书，仪器仪表也就直接念过去，也不指一下，或者单独放出来，生怕我知道哪个仪表叫什么,0
老师好，我很喜欢您讲的课，课程真的很棒，能不能麻烦您这次课不要关闭，我觉得对于很多同学都是很有帮助的，课程真的很棒,1
"天气不好一课心
",0
优秀啊！！！真好,0
真棒这个软件,1
