comment,sentiment
现在是20200719，还木有开课。。。,0
这个课程适合没学过编程的人，有很多地方讲的不是很仔细，运算符讲的不仔细，没有讲很深入，也没讲运算符优先级和结合性，总之一句话这个课适合小白，例子分析是分析了，讲的不是很细,0
很一般，想入门python的看了也学不到什么，没什么意义，非常水，高估这个课了,0
"最终考核的时候总是等待状态，不显示题目，没办法做题，时间到自动提交的，付出了很多时间最后没能如愿答题对此很不满意
",0
其它章节学习视屏内容何时播放呢,0
辣鸡软件，骗我流量。习惯一分,0
老师讲课思路清晰、重点突出、受益匪浅。,0
很一般不建议观看有点浪费时间。人工智能是一门实践性很强的课程。,0
听了一下yolo算法，讲得很含糊，给人的感觉是补了几天yolo算法的概念就来上课了。,0
都期末考试复习周了，连自己任课老师是男是女多大岁数都不知道。在家里刷网课真是可笑。,0
"感觉良好呀

",0
还是非常不错的,0
没有字幕，没有字幕没有字幕没有字幕。内容中外国人名字太多，法律 专业 术语，没字幕不知道 ，啥 的具体是什么,0
。。。。。,0
垃圾垃圾垃圾,0
二倍速是。人家的一倍素，这软件做得太差了。,0
额如果让工人根本,0
不好，很不好。,0
思索古人的智慧文化，深刻理解并用于自身与生活才能受益终身，没有绝对的对错!,0
框架不是很清晰 概念不是很全,0
作业好多啊,0
这人明显就是念ppt，声音小就算了，还卡壳,0
中华优秀的传统文化体现在个人与家庭中，家庭与社会中，社会与国家中。个人的吃穿住行，社会的安定和谐，国家的繁荣昌盛，世界的和谐共处,0
考试是不是有点早，才四月？？,0
仅仅是语段阅读，并没有详细的解说,0
满嘴瞎扯，瞎解读。,0
课程很实用，老师讲解很生动，收获颇丰！,0
原汁原味，受益匪浅,0
我时常看不了视频，调了兼容模式也不行，提交故障至今没回复。我非常失望,0
从中学到了很多,0
失望很大，没有预期想象的好,0
"累累累累累
",0
讲的真心不咋地,0
一点都不方便使用,0
要不是不能点零星，我就给零星了，完成课程，进度条不能同步显示,0
念稿式授课晦涩至极，声音跟猫叫一样小，分组密码不讲公钥密码不讲椭圆曲线wtf，不适合没有基础的学我一个搞IT的听的都费劲，李老师还是手下的助教就跟磨一样推一下才象征性地回两个帖，这么次的课实在不敢相信这老师还自卖自夸给好评实在不敢相信还有复旦的同学拍老师马屁，用六安话讲就是煽精，拉一下低分防止大家浪费时间,0
更新：有人提反对意见了，我想说内容很不全面是不争的事实，连很多重要的算法都不讲可见质量不高，密码学信息安全这一类的本来就难学，如此授课我也是醉了||基本的原理一点都不全面，视频很粗糙还不提供PPT，讲课晦涩枯燥，再加上源码里存储的课程编辑的ID又是崔老师的（论心理阴影面积，坚决不会申请证书系列），几个因素综合这个课真可以打入另册了,0
很好的课程。就是，关于中国特色社会主义开辟了科学社会主义的新境界，形成了道路、理论、制度、文化“四位一体”的有机统一的科学体系。。。的阐述很别致啊，有些容易和当前“五位一体”总体布局、四个自信搞混。,0
很好，希望公开。,0
内容很精彩,0
软件真差劲，都不可以在电脑上下载,0
tu lwdnmg,0
..00000,0
so tired,0
内容很好，全面而且深刻！,0
丰富了我的知识，让我受益匪浅，更提醒了我们积极预防,0
就那样吧！,0
考试和自己编问题特别鸡肋，总觉得很傻，有的章节就根本没有什么实质性内容，还让编问题，真无语，还有考试，就没有任何意义，还给0 分，最起码给点可怜分,0
，，，，，,0
这个没有期末测试的吗？为啥我每个单元测试都通过了，但这个课程还是没通过呢？？,0
老师课讲得很好,0
非常不好！结课这么快，考试也没个通知，直接错过,0
。。。。。,0
结束论文写作的流程很详细，很好，学到了很多,0
分数不对啊,0
课程缺失，建议补全,0
"一点都不好用
",0
走形式，不怎么样,0
"太好了，打开了阅读古诗的一个新视角。
       谢谢骆教授！",0
内容丰富，视频刷了，但是没成绩,0
期末考试时间有问题,0
老师学识渊博，收获颇丰，了解很多有关科学研究和论文写作的方法，谢谢老师!,0
"讲出了不同文体表情达意的不同，很有启发。
从人，人性的深度去分析，深刻又鲜活。",0
"第七单元测试，4月30号结束。
为什么期末考试4月20号就结束了？",0
好疲惫，好累啊，眼睛都要瞎了,0
视频总是打不开,0
不接地气，各种难懂的专业名词，各种拗口晦涩的长句复句，就是不说人话。,0
视频加载不出来,0
内容丰富·‘，有趣’,0
