comment,sentiment,,
璇剧▼寰堣缁?鏀惰幏棰囦赴,1,,
"涓轰粈涔堟垜鐪嬩簡杩欎箞涔咃紒杩樻槸涓や釜灏忔椂锛?涓轰粈涔?锛岀粰鎴戜竴涓悊鐢憋紵
",0,,
鏇村ソ鐨勮璇嗗埌浜嗙柅鎯呭拰鐤儏鍒版潵鎴戜滑搴旇浠ヤ粈涔堟牱鐨勬€佸害鍘婚潰瀵癸紝瑙ｅ喅銆?1,,,
绗竴娆¤繎璺濈鐪嬪埌鑰佸笀锛屽搱鍝?1,,,
鑰佸笀璁插緱鍐呭绗﹀悎瀹為檯鎯呭喌锛岃鎴戜滑鍥㈢粨璧锋潵锛屽叡鎶楃柅鎯呫€?1,,,
鑰佸笀璁插緱寰堝ソ,1,,
鍗″崱鍗″崱鍗″崱,0,,
闈炲父鐨勫ソ 浠ゆ垜鍗拌薄娣卞埢缁欎簡鎴戞繁鍒荤殑鏁欒偛 浣挎垜鍙樺緱鏇村姞鐨勪紭绉€ 鎴戜細濂藉ソ鐨勫彂鎵繖绉嶇簿绁?1,,,
"瀛﹀埌浜嗗緢澶氬疂璐电殑宸ョ▼缁忛獙
",1,,
鍐呭寰堝ソ锛屼絾杩樺彲浠ュ啀鐢熷姩涓€鐐癸紒,1,,
杩欐湡瀛︿範璁╂垜瀛﹀埌浜嗗緢澶?1,,,
鎰熻鑰佸笀璁茬殑鏃跺€欙紝鏁翠綋涓婅繕鏄瘮杈冭〃灞傜殑锛屽娣卞眰娆＄殑涓滆タ璁插緱涓嶉€忓交銆傜壒鍒槸鍦ㄨ璇句腑瀵硅嚜宸辩殑瑙傜偣寮鸿皟澶锛屾湁浜涘亸棰囥€?1,,,
鑰冭瘯鏃堕棿鏋佸叾涓嶅悎鐞嗭紝鏃堕棿涓嶅悎鐞嗐€? ,0,,
鍙互澶уぇ鎷撳睍鍏充簬蹇楁効鏈嶅姟鐨勭煡璇嗐€?1,,,
澹伴煶鍚庨潰寰堝閮芥病鏈夛紝璁茶鑰佸笀鎬庝箞涓婁紶鐨?0,,,
 瀛楀お澶氬彧鎶婇噸鐐规墦鍑烘潵灏辫浜? 鑳戒笉鑳借鐨勬椂鍊欐妸鏈変簺鍏紡鍐欑殑,0,,
澹伴煶鏍规湰鍚笉娓?0,,,
"鏁欏寰堝埌浣?瀛﹀埌浜嗗緢澶氱煡璇?鑰佸笀鑳芥牴鎹湰璇剧▼鐭ヨ瘑缁撴瀯鐨勭壒鐐癸紝閲嶇偣绐佸嚭锛屽眰娆″垎鏄庯紝閫氫織鏄撴噦銆傜悊璁哄拰瀹為檯鐩哥粨鍚堬紝閫氳繃渚嬮浣跨煡璇嗘洿鏉＄悊鍖栥€?,1
瀵规垜鐨勭敓鐞嗗涔犲緢鏈夊府鍔?1
涓嶅ソ鎰忔€濓紝浣嗘槸鐪熺殑缁欎笉浜嗛珮鍒嗭紝瀹屽叏灏辨槸璇籶pt銆?0
鎸夋椂鍚瀹屾垚浣滀笟缁撴灉娌℃湁璇佷功锛岀湡鏄浜哄ご澶?0
涓哄暐鐜板湪浜嗘墠瑕佹眰鐪嬭繖涓滆タ,0
闈炲父濂斤紝閫氳繃瀛︿範鐭ラ亾浜嗛噾铻嶅競鍦虹殑鍩烘湰宸ュ叿鍜屽熀鏈悕璇嶆湳璇紝鐩镐俊鍦ㄤ互鍚庝細缁欑悊璐㈡姇璧勬椿鍔ㄦ彁渚涘己鏈夊姏鐨勫熀纭€銆?1
缃戠珯绻佸繖锛岄渶瑕佸崌绾с€?0
闈炲父鍠滄杩欓棬璇撅紝鑰佸笀浠殑璁茶В寰堝埌浣嶏紝寰堢粏鑷达紝鏈夌郴缁熸€э紝涔熼兘寰堣€愬績瑙ｇ瓟鎴戜滑瀛︿範涓亣鍒扮殑鍥版儜锛屽笇鏈涜兘鏈夎秺鏉ヨ秺澶氱殑浜哄涔狅紝鍔犳补锛屸問(^蠅^)鈫椼€?1
杩涘害鏉¤窡涓嶄笂锛屾墜鏈轰笉鍙互浜掕瘎锛岃€佸笀鍙垜鑷瑙ｅ喅,0
鍏ㄩ潰鍒颁綅銆佹潯鐞嗘竻鏅?1
鍒氬紑濮嬬湅锛屽姞娌?1
鍟婂晩鍟婂晩鍟婏紝鏈€鍠滄鐨勮€佸笀閮藉湪杩欓噷浜嗗搱鍝堛€?1
涔熶笉鏄偅涔堝鎰?1
鏋佸ソ鐨勮绋嬶紝濞撳〒閬撴潵鍗佸垎鏈夎叮,1
璇剧▼鍐呭涓嶅叏鍟?0
濂藉ソ鍟婂搱濂藉ソ,1
鎬濇兂涓婃湁涓€瀹氱殑鏀惰幏锛屾洿璁ゆ竻浜嗚嚜宸?""",1,,
"

姣涙璇捐€佸笀涓婅璁ょ湡璐熻矗锛屼簨鍏堝噯澶囦簡寰堝璇濋锛屽湪鍚屽璁插埌涓€浜涘緢鏈夎叮鐨勪笢瑗挎椂锛岃€佸笀鍙堜細瀵逛粬杩涜琛ュ厖锛屼娇璇惧爞涓婄殑姣忎釜浜洪兘寰堟劅鍏磋叮锛屽悓鏃跺鍔犱簡鎴戜滑鐨勫弬涓庢€э紝鎽嗚劚浜嗕紶缁熻鍫傝€佸笀涓€浜哄崰涓诲鐨勬満鍒讹紝鍏呭垎鎸栨帢浜嗗悓瀛︾殑娼滃姏锛屾瘡娆′笂鑰佸笀鐨勮閮借鎴戣繘琛屼簡涓€娆＄簿绁炰笂鐨勫崌鍗庛€?,1
涓嶅ソ鎰忔€?娌℃湁璇佷功 瑙夊緱鎸轰笉濂界帺鐨?鍙ｄ酣锛?0
鎷撳瑙嗛噹锛岀煡璇嗗厖瀹?1
鑰佸笀璁茬殑寰堝ソ锛屾敹鑾峰緢澶э紒",,,
",1
鍙楃泭鍖祬锛屼互鍚庡鍙傚姞杩欐牱鐨勫涔犳椿鍔?1
棰樼洰鍒蜂笉鍑烘潵,0
涓嶉敊锛屽鏋滆兘缁撳悎涓鏁欏锛屽鎴戝氨鏇村ソ浜嗐€?1
鍗℃浜嗗晩鍟婂晩,0
绉戦瞾鍏规潨鑾庡か浜轰釜is鍙姴鍎挎壒缁撳熬 ,1
鏈夌殑渚嬮鏍规湰鍚笉鎳傦紝璁茶В渚嬮鐨勬椂鍊欏氨璺熷康绛旀浼肩殑锛屾牴鏈笉璁蹭负浠€涔堬紝涓€鐐瑰嵉鐢ㄤ篃娌℃湁锛岃涓嶄細鐨勮繕鏄笉浼氥€?0
杩欑涓婅瓒婃潵瓒婅创杩戞椂浠ｏ紝绗﹀悎鏂版椂浠ｆ柊瀛︿範鐨勯渶姹傦紝鏈夎璁烘湁绛旂枒锛屽畬缇庡疄鐜扮嚎涓婂鐢熶笌瀛︾敓锛屽鐢熶笌鑰佸笀涔嬮棿鐨勫鏈氦娴侊紝闈炲父濂姐€?1
鐓ф湰瀹ｇ锛屾灟鐕ユ棤鍛筹紝涓嶈蛋蹇冿紝宸瘎,0
璁茬殑鎸哄ソ鐨勶紝涓撲笟锛屾湁瓒ｃ€?1
璁╂垜鍦ㄥ涔熷彲浠ヤ簡瑙ｅ埌鐤儏鐨勬湁鍏崇煡璇嗭紝琛ュ叏浜嗙煡璇嗙殑绌虹己",,,
",1
涓嶅敖浜烘剰锛岄€€浜?0
鎺堣璇█鐢熷姩褰㈣薄锛岃绋嬪唴瀹逛赴瀵岄綈鍏紝瓒呭枩娆㈣繖閲?1
濉┖棰樻牸寮忔湁璇紝瀵逛簬瀛︾敓鏉ヨ锛屽緢涓嶆柟渚?0
寰堝枩娆㈡潕鑰佸笀鐨勮鐢熷姩锛屾湁瓒ｃ€?1
寰堝ソ寰堜笉閿欏憖",,,
",1
闈炲父妫掞紱鎺ㄨ崘,1
瀛︿範鍒颁簡寰堝涔嬪墠涓嶇煡閬撶殑鐭ヨ瘑锛岃В寮€浜嗕竴浜涜鍖猴紝闈炲父浼樼锛?1
绯荤粺瑙ｅ墫瀛︾湡鏈夋剰鎬?1
澶浜嗭紝甯屾湜姣忎釜浜洪兘鑳藉仛鍒板眳瀹堕殧绂伙紝涓嶇粰鍥藉娣婚夯鐑?1
缁欐垜鍒涙柊鎬濈淮鐨勪翰鍚彂",,,
",1
鎰熻鑰佸笀寰堟暚涓氾紝涓€鐩寸敤閿欒鐨勫彂澹版柟娉曞姣旀纭殑鍙戝０鏂规硶璁茶锛屾劅璋㈣€佸笀,1
鎴戣棰戦兘鐪嬩簡涓哄暐璇存垜鍙浜嗕竴涓鏃讹紵,0
寰堝ソ",,,
鍠滄妫?,1,,
寰堜笉閿欙紝瀛﹀埌浜嗗緢澶氱煡璇嗭紝寰楀埌浜嗘彁鍗?1,,,
鍋滃涓嶅仠璇撅紒鑰佸笀浠緵鑻︿簡,1,,
鎰熷悓韬彈鎰熷悓韬彈,1,,
璇剧▼涓嶅叏锛屾氮璐规椂闂?0,,,
鍨冨溇涓殑鎴樻枟鏈?0,,,
璇剧▼鍐呭涓板瘜锛屾暀瀛︽柟寮忓鏍?0,,,
瀛︿範鍒板緢澶氭柊椴滃瑗裤€備笉閿?1,,,
浣滀笟澶锛屾椂闂村お灏?0,,,
鎰熻杩樹笉閿欍€?1,,,
璇剧▼涓板瘜锛屽紑鎷撹閲?1,,,
闈炲父瀹炵敤锛屽浘鏂囧苟鑼傦紝璁茶В娓呮,1,,
鎷撳楗夸簡鐪肩晫锛岃鎴戣烦鍑哄師鏉ョ殑鍦堝瓙鐪嬩簰鑱旂綉锛屽緢鏈夊惎鍙戞剰涔夛紝璧炪€?1,,,
鐪熶笉閿欏晩鍟婂晩鍟?1,,,
瀹炵敤绉戝鏈夋晥鍋ュ悍,1,,
...棰濋棰濋棰濋棰?0,,,
"闈炲父nice
",1,,
