comment,sentiment
讲的能不能详细一点，一个视频六分钟？六分钟我就学会了？,0
学习效率得到提升,0
浪费我时间，我爱打LOL ,0
参加开课时 尚是一学生  公寓门口 一颗小树苗 如今恐已是亭亭如盖矣,0
讲题的时候能不能把电路图在解析的那一页加上，要不然还要画下来或者翻来覆去的看,0
垃圾，垃圾，垃圾,0
希望演示时镜头可以不一直移动，对于这种课程来说，镜头一直移动导致看不清动作变换，根本没法学习，这真的令人非常的失望。,0
"貌似有点慢
",0
听不懂啊啊啊啊,0
理解理解理解.,0
"觉得mooc算平时成绩真的不合理，有些人。。。老实人吃亏
",0
无聊，没意义,0
证书太便宜了,0
很多时候我无法完全记忆什么时候有作业，这使得我错过了很多次作业，可以加个提醒机制吗,0
"mooc做的真的差劲
",0
难以理解，不够生动形象,0
为什么找不到后面三节的,0
课后习题很多都是课程里面没有讲到的，有点超纲了,0
之所以选择《公司法》学习课程，是因为变更营业执照、申请许可资质的需要，前几年领取营业执照时候，手续简单但是自己的对公司的知识也“简单”。想规范公司了，也就重视了《公司法》，每条规定实际都是一个个活生生的教训的案例，借鉴前车之鉴有利无害。坚持终生学习！,0
很好，课程知识点基本完整，但是少了一些基本操作的算法和程序讲解，另外，可以加上一些经典案例的讲解,0
按时听课完成作业结果没有证书，真是让人头大,0
"非常棒，太好了
",0
课程讲解过于死板，不能调动学生的兴趣,0
一个学期都没消息，以为没人管理了，结果这个分数是怎么算的呢,0
不好！！！！,0
看完之后更新好慢，而且换电脑了，更新又不知道，,0
评分机制不清晰，不能直观体现，上完的单元课没有标记，移动端没有移植电脑端的所有功能，对iPad的优化太差,0
有些听了几遍还是不明白，我太蠢了,0
学习进度条不够明确，没有明确显示未学习内容,0
"很好就很棒
",0
